Ref	x	y	Connectivity	Point First Moment	Point Second Moment
720960	1.08	7.36	71	15.479453	4.3007998
720961	1.08	7.4	71	14.896123	4.0704002
720962	1.08	7.44	71	14.896123	4.0704002
720963	1.08	7.48	71	15.479453	4.3007998
720964	1.08	7.52	71	16.617079	4.7616
720966	1.08	7.6	64	14.093885	3.8624001
720967	1.08	7.64	104	34.644493	16.924801
720968	1.08	7.68	117	39.738735	19.649599
720969	1.08	7.72	81	18.180265	5.0896001
720970	1.08	7.76	71	17.073963	5.1023998
786440	1.12	5.12	222	105.24494	74.950401
786441	1.12	5.16	240	115.82227	85.521599
786442	1.12	5.2	253	123.48015	94.019203
786443	1.12	5.24	241	108.07349	77.270401
786444	1.12	5.28	224	83.020248	47.596802
786445	1.12	5.32	215	73.595093	38.5728
786446	1.12	5.36	203	62.694839	28.452801
786447	1.12	5.4	186	50.151707	17.6096
786448	1.12	5.44	170	43.757755	13.9776
786449	1.12	5.48	152	41.806175	14.0688
786451	1.12	5.56	242	113.68269	70.447998
786452	1.12	5.6	262	117.61987	69.388802
786453	1.12	5.64	258	109.08047	61.127998
786454	1.12	5.68	253	101.17253	54.131199
786455	1.12	5.72	246	92.258011	46.4496
786456	1.12	5.76	244	87.631058	42.244801
786457	1.12	5.8	244	84.167381	38.785599
786458	1.12	5.84	247	82.466782	36.235199
786459	1.12	5.88	253	84.713264	37.368
786460	1.12	5.92	273	96.743423	45.743999
786461	1.12	5.96	426	458.5546	1023.6816
786462	1.12	6	442	494.19498	1128.5728
786463	1.12	6.04	258	88.356987	40.793598
786464	1.12	6.08	246	82.552757	37.849602
786465	1.12	6.12	241	82.612152	39.492802
786466	1.12	6.16	239	86.160301	44.464001
786467	1.12	6.2	244	95.288597	54.080002
786468	1.12	6.24	242	98.977119	58.5168
786469	1.12	6.28	243	104.77968	64.435204
786470	1.12	6.32	241	109.4513	69.924797
786471	1.12	6.36	228	109.72643	73.9328
786472	1.12	6.4	225	117.03373	82.486397
786476	1.12	6.56	62	18.218618	7.9503999
786477	1.12	6.6	20	5.7555542	2.3664
786481	1.12	6.76	26	9.8878822	7.0176001
786482	1.12	6.8	52	15.839282	7.1055999
786488	1.12	7.04	71	18.672298	5.9136
786489	1.12	7.08	72	17.730001	5.4608002
786490	1.12	7.12	146	54.847942	30.200001
786491	1.12	7.16	138	51.301807	28.3536
786492	1.12	7.2	72	17.730001	5.4608002
786493	1.12	7.24	71	18.672298	5.9136
786495	1.12	7.32	71	18.672298	5.9136
786496	1.12	7.36	71	17.640558	5.4527998
786497	1.12	7.4	71	17.111734	5.2224002
786498	1.12	7.44	71	17.111734	5.2224002
786499	1.12	7.48	71	17.640558	5.4527998
786500	1.12	7.52	71	18.672298	5.9136
786502	1.12	7.6	59	14.904503	4.6240001
786503	1.12	7.64	96	29.163681	12.432
786504	1.12	7.68	126	42.3022	19.742399
786505	1.12	7.72	79	20.070566	6.2848001
786506	1.12	7.76	60	15.316328	4.7936001
851976	1.16	5.12	247	137.85081	120.576
851977	1.16	5.16	270	151.72148	132.2672
851978	1.16	5.2	292	165.85542	144.75681
851979	1.16	5.24	287	154.61871	129.496
851980	1.16	5.28	276	134.90776	104.0944
851981	1.16	5.32	274	129.03339	95.625603
851982	1.16	5.36	281	130.14626	92.582397
851983	1.16	5.4	293	133.61781	90.351997
851984	1.16	5.44	308	140.19199	90.9888
851985	1.16	5.48	338	153.3654	94.945602
851986	1.16	5.52	323	145.52142	87.147202
851987	1.16	5.56	291	130.96355	77.620796
851988	1.16	5.6	270	117.02744	67.513603
851989	1.16	5.64	256	105.24823	58.243198
851990	1.16	5.68	251	98.281158	52.102402
851991	1.16	5.72	247	92.117355	46.6432
851992	1.16	5.76	246	87.953003	42.596802
851993	1.16	5.8	245	84.261154	39.119999
851994	1.16	5.84	244	81.195435	36.302399
851995	1.16	5.88	253	83.914749	37.035198
851996	1.16	5.92	272	93.959808	43.112
851997	1.16	5.96	430	453.24344	995.08478
851998	1.16	6	445	490.14673	1106.0176
851999	1.16	6.04	257	86.69474	39.7728
852000	1.16	6.08	244	81.058929	37.406399
852001	1.16	6.12	240	81.971413	39.647999
852002	1.16	6.16	239	84.279007	42.436798
852003	1.16	6.2	237	87.589386	46.651199
852004	1.16	6.24	236	91.037178	50.579201
852005	1.16	6.28	236	96.239716	56.395199
