Ref	x1	y1	x2	y2	Connectivity	Line Length
376	533858.612136	184451.062105	533881.486801	184442.907089	1	24.284863
377	533775.27928	184621.968307	533794.490279	184663.017968	2	45.32259
378	533762.103724	184613.738458	533781.439365	184628.066033	2	24.065462
379	533700.220655	184630.440425	533770.097005	184613.732401	2	71.8461
380	533805.116326	184396.051343	534148.833614	184307.10038	5	355.04062
381	533945.793298	184053.409685	534099.428093	184187.659445	5	204.02609
382	533834.875982	184364.833995	534111.873958	184159.156088	5	345.00909
383	533792.895505	184243.361641	533826.550144	184231.988031	1	35.524551
384	533979.722385	184337.831471	534017.329439	184423.257168	3	93.337242
385	533992.938422	184471.820594	534007.05502	184389.642106	4	83.382149
386	533994.113841	184391.83229	534055.382524	184443.507198	4	80.15078
387	534042.765346	184443.089161	534157.341868	184390.703292	3	125.98436
388	533853.526216	183878.666834	533991.751589	184110.060142	6	269.535
389	533594.992988	184433.873368	533641.994521	184432.89061	2	47.011806
390	533628.797004	184370.455395	533641.089159	184434.562341	1	65.274788
391	533581.848846	184354.59866	533681.428615	184323.505047	3	104.32134
392	533617.716683	184186.56137	533738.368901	184459.694622	3	298.5946
393	533695.557602	184548.446813	533763.508888	184537.393017	2	68.84449
394	533757.433671	184506.135383	533767.261721	184565.431094	3	60.104675
395	533751.648589	184512.506975	533821.887935	184500.060681	2	71.333557
396	533819.011571	184497.705715	533829.580194	184552.840948	3	56.139023
397	533759.05199	184561.657481	533835.507666	184548.983984	2	77.498955
398	533787.028409	184006.76122	533824.575343	184113.038209	3	112.71455
399	533411.276864	184499.907241	533424.722136	184764.166535	3	264.6011
400	534079.043875	184492.516695	534641.721189	184610.571934	10	574.92853
401	534078.581459	184263.75404	534244.617529	184228.188309	4	169.80252
402	534001.209547	183814.256308	534167.642419	184551.258139	11	755.56042
403	534184.643095	184315.712944	534623.810302	184321.836821	4	439.2099
404	534171.548117	184191.894135	534195.895544	184384.291435	2	193.93173
405	534259.186721	184310.35799	534267.786545	184374.08937	3	64.308983
406	534221.029704	184401.857388	534276.085944	184360.552837	2	68.827721
407	534256.311788	184365.753465	534658.98396	184387.018927	4	403.23331
408	534340.296458	184554.97902	534388.795247	184150.554043	7	407.3226
409	534375.5833	184152.209774	534613.971169	184166.597117	5	238.82162
410	534292.952711	183980.51823	534389.525079	184163.768494	7	207.13977
411	534243.591734	184052.389493	534326.461777	184031.801248	1	85.389229
412	534523.654664	184592.936178	534529.659313	184503.013793	1	90.122643
413	534200.445183	184234.314318	534624.49092	184238.835314	5	424.06982
414	534471.532711	183786.060015	534606.990485	184209.222433	7	444.31436
415	534421.265724	183576.333035	534556.477661	184059.484692	5	501.71484
416	534379.22304	183793.244614	534494.673805	183814.707337	5	117.42882
417	534398.270908	183852.339354	534483.502838	183783.049247	5	109.84353
418	534413.140645	183837.090409	534444.382051	184036.667977	4	202.008
419	534231.831306	183993.036716	534531.340314	183964.368091	8	300.87793
420	534172.577514	183923.701456	534215.940242	184037.13487	2	121.43914
421	534115.258786	184054.083176	534123.803083	183933.6061	2	120.77968
422	534121.029309	183939.744568	534174.676304	183924.264876	2	55.835659
423	533810.59916	184073.5153	533810.611406	184073.513141	1	0.012435302
424	533954.738015	184048.098338	534364.650043	183975.815827	8	416.23627
425	534371.123204	183959.195139	534375.526555	183983.077456	1	24.284863
